傲岸不群	aabq
皑皑白雪	aabx
暗暗称奇	aacq
嗷嗷待哺	aadb
安安分分	aaff
哀哀父母	aafm
暗暗称奇	aaiq
安安静静	aajj
矮矮胖胖	aapp
暗暗祈祷	aaqd
安安全全	aaqq
安安稳稳	aaww
安安心心	aaxx
哀哀欲绝	aayj
安安逸逸	aayy
昂昂自若	aazr
暗暗咂舌	aazs
暗暗咂舌	aazu
安不安全	abaq
安不安逸	abay
哀兵必败	abbb
按兵不动	abbd
按兵不举	abbj
哀兵必胜	abbs
哀兵必胜	abbu
安步当车	abdc
安邦定国	abdg
安步当车	abdi
阿鼻地狱	abdy
熬不过去	abgq
阿布哈兹	abhz
按部就班	abjb
按步就班	abjb
傲不可长	abkz
敖不可长	abkz
爱别离苦	ablk
鞍不离马	ablm
爱不忍释	abrs
爱兵如子	abrz
按兵束甲	absj
案兵束甲	absj
爱不释手	abss
爱不释手	abuu
阿布扎比	abvb
安邦治国	abvg
阿布扎哈	abvh
安不忘危	abww
阿布扎比	abzb
安邦治国	abzg
阿布扎哈	abzh
安常处顺	accs
暗锤打人	acdr
熬肠刮肚	acgd
安常履顺	acls
安车蒲轮	acpl
昂藏七尺	acqc
昂藏七尺	acqi
爱才若渴	acrk
爱才如渴	acrk
爱财如命	acrm
爱才如命	acrm
安常守分	acsf
安常守故	acsg
暗藏杀机	acsj
暗藏杀机	acuj
安常习故	acxg
暗藏玄机	acxj
暗潮汹涌	acxy
爱答不理	adbl
暗度陈仓	adcc
暗渡陈仓	adcc
暗度陈仓	adic
暗渡陈仓	adic
暗度金针	adjz
案牍劳形	adlx
澳大利亚	adly
安堵乐业	adly
暗斗明争	admz
安堵如故	adrg
按堵如故	adrg
挨冻受饿	adse
安定团结	adtj
暗淡无光	adwg
黯淡无光	adwg
安度晚年	adwn
爱得要死	adys
安定有序	adyx
案牍之劳	adzl
奥尔巴尼	aebn
阿尔卑斯	aebs
哀而不伤	aebs
哀而不伤	aebu
阿尔及尔	aeje
安抚安抚	afaf
挨风缉缝	afjf
鳌愤龙愁	aflc
捱风缉缝	afqf
安分守己	afsj
安份守己	afsj
安分守已	afsy
安分守己	afuj
安份守己	afuj
安分知足	afvz
案发现场	afxc
案发现场	afxi
安富恤贫	afxp
爱富嫌贫	afxp
安富恤穷	afxq
安富尊荣	afzr
安分知足	afzz
阿哥阿妹	agam
阿狗阿猫	agam
阿姑阿翁	agaw
阿家阿翁	agaw
哀告宾服	agbf
安国富民	agfm
爱岗敬业	agjy
傲骨嶙嶙	agll
安国宁家	agnj
爱国如家	agrj
爱国人士	agrs
