#兼容所有拼音类型的公共简码库
a	啊|哎|按|爱|安|暗
b	吧|不|被|把|比|变
c	从|次|才|出|成|处
d	的|打|都|到|大|点
e	二|而|额|恶|饿|恩
f	发|非|分|放|反|飞
g	个|管|过|给|更|高
h	和|化|好|后|会|还
i	出|初|除|处|触|储
j	就|见|将|经|加|叫
k	可|块|看|开|快|卡
l	了|立|来|里|老|乐
m	没|嘛|么|们|买|面
n	你|哪|那|能|年|内
o	哦|噢|偶|殴|沤|怄
p	屁|平|跑|怕|片|评
q	去|期|起|前|钱|全
r	人|入|日|让|如|热
s	三|随|是|说|上|死
t	他|它|她|听|太|头
u	是|时|事|实|十|使
v	这|之|中|真|找|知
w	我|位|为|完|问|无
x	下|小|想|先|新|行
y	一|又|有|要|用|以
z	在|子|做|最|走|自
gj	感觉
jd	觉得
ky	可以
my	没有
zj	自己
ad	阿杜
aj	按键
ap	安排
aq	安全
at	艾特
av	按照
ay	阿姨
bb	并不
bd	不但
bp	不怕
bq	并且
br	比如
bu	不是
bt	不同
bv	帮助
bw	本文
cd	菜单
cm	层面
cn	才能
cq	采取
ct	从头
cw	财务
cx	才行
cy	参与
cz	操作
dd	得到
df	地方
dn	电脑
dt	地铁
eb	而不
ec	二次
ed	耳朵
ef	而非
eh	恶化
ek	儿科
el	二楼
ep	恶评
eq	而且
es	耳塞
et	儿童
eu	而是
ev	二战
ew	而我
ex	恶心
ey	而已
ez	儿子
fc	讽刺
fd	反对
fe	份额
fi	非常
fk	反馈
fl	分类
fm	方面
fn	烦恼
fp	分配
fq	放弃
fr	否认
fs	放松
ft	法庭
fv	分钟
fw	范围
fx	发现
fy	翻译
gc	刚才
gi	过程
gm	干嘛
gn	功能
gq	歌曲
gt	沟通
gx	更新
hc	缓存
hi	好吃
hm	后面
hn	很难
hq	获取
ht	话题
hx	好像
ic	川菜
im	充满
in	承诺
iq	重庆
it	传统
iw	成为
ix	出现
iz	创造
ja	骄傲
jb	进步
je	金额
jf	减肥
jg	价格
jh	计划
jj	解决
jk	接口
jl	经历
jv	简直
jz	就在
ki	课程
km	科目
kn	可能
kq	开启
kt	空调
kx	科学
lf	浪费
md	目的
mp	门票
mr	没人
ms	貌似
mt	每天
mv	每周
mw	名为
nb	内部
np	哪怕
nw	牛蛙
pd	片段
pe	普洱
pq	脾气
pr	烹饪
ps	配送
pt	平台
pv	配置
pw	品味
qa	亲爱
qb	全部
qe	企鹅
qf	缺乏
qg	全国
qh	青海
qj	期间
qk	情况
ql	起来
qv	其中
qz	茄子
ra	热爱
rc	如此
rd	热点
rg	如果
rl	人类
rm	人们
rn	日内
rq	日期
rt	如题
rw	任务
rx	如下
ry	容易
rz	融资
sc	色彩
sd	速度
um	什么
sn	三年
sq	四驱
sw	所谓
sx	思想
sy	所以
sz	所在
td	特点
tf	台风
tn	太难
tq	天气
tt	天天
tw	太晚
uc	收藏
un	少年
uq	社区
uu	少数
ut	身体
ux	实现
vc	这次
vm	这么
vn	只能
vq	之前
vt	状态
vx	这些
vy	注意
wb	微博
wc	晚餐
wd	我的
we	玩儿
wi	完成
wm	我们
wn	温暖
wp	物品
wq	完全
wr	污染
wu	为啥
wt	问题
wv	位置
ww	娃娃
wx	微信
wy	我也
xa	西安
xb	性别
xe	限额
xf	消费
xg	习惯
xh	喜欢
xj	新疆
xk	辛苦
xl	序列
xt	系统
xv	学者
xz	选择
yc	因此
yd	有点
yf	衣服
yg	一个
yl	压力
ym	页面
yq	要求
yv	一直
yw	因为
yx	一些
zc	再次
zd	自动
zm	怎么
zn	在哪
zq	足球
zt	昨天
zw	作为
zx	在线
zy	资源
ab	安保
ac	艾草
ae	埃尔
af	安防
ag	爱国
hg	很高
ak	安康
al	案例
am	按摩
ar	爱人
as	阿三
au	暗示
aw	安慰
ax	爱心
az	案子
be	不饿
bs	比赛
bx	表现
by	不要
bz	并在
cb	从不
ck	参考
cl	材料
cp	测评
db	代表
dl	到了
na	纽埃
ea	恩爱
ej	耳机
em	噩梦
oe	偶尔
fb	方便
gb	改变
gp	股票
hb	回报
hp	好评
ib	成本
ip	产品
jc	精彩
jo	奇偶
js	计算
jt	交通
jw	今晚
kb	恐怖
kp	靠谱
ml	美丽
mq	目前
mx	明显
ny	那样
pl	评论
pu	拍摄
px	培训
py	朋友
qc	其次
qd	确定
qo	群殴
qw	千万
rb	日本
rk	人口
rp	人品
sb	随便
sk	思考
sl	森林
sm	扫描
sp	碎片
st	三天
tb	特别
tl	讨论
tx	同学
ub	识别
up	视频
us	深色
vb	准备
vp	照片
wk	胃口
wl	网络
ws	网速
wz	文字
xc	下次
xd	行动
xo	西欧
xw	希望
xy	需要
yn	云南
yp	影片
zb	嘴巴
zk	最快
zl	资料
zp	作品
ah	爱好
hr	黑人
hs	还算
hz	好在
aa	矮矮
ai	熬成
an	按钮
bh	疤痕
bg	报告
bi	播出
bj	并将
bk	包括
bn	不能
bc	白菜
bf	比方
bl	比例
ba	办案
bm	编码
bo	北欧
cc	层次
cg	错过
ch	策划
ci	存储
cu	测试
cv	财政
cj	促进
cs	厕所
ce	刺耳
cf	存放
cr	曾任
ca	惨案
da	答案
de	第二
di	调查
dq	定期
dr	当然
ds	打算
dw	到位
dy	电影
dc	多次
dg	代购
du	都是
dh	带回
dj	动机
dx	短线
dp	点评
dv	对账
dz	动作
dk	对抗
dm	都没
do	对偶
eg	儿歌
ǹh	嗯哼
ei	而成
er	恩人
en	儿女
fa	法案
ff	发放
fg	风格
fh	发货
fj	佛教
fz	放在
fu	防守
gl	给了
gv	广州
ga	港澳
gd	搞定
ge	感恩
gg	改革
gk	高考
gr	给人
gz	跟踪
gf	股份
gh	更好
gs	跟随
gw	各位
gu	跟上
gy	过于
hd	很多
hf	哈佛
hh	很好
hl	后来
ha	黑暗
he	好饿
hu	还是
hy	好友
hj	很久
hv	活着
hk	很快
hw	华为
ia	宠爱
ig	常规
ih	窗户
ii	超出
il	处理
iv	查找
ie	超额
ir	超人
if	拆分
is	场所
ij	持久
iy	持有
iu	传说
id	传导
ik	出口
jx	进行
jp	精品
jy	精英
ji	奖惩
jn	江南
jq	将其
ju	就是
jr	迥然
kd	看到
kf	客服
kh	看好
ks	快速
ka	可爱
ke	烤鹅
kg	考古
kk	看看
kr	客人
kv	看着
kw	口味
kz	开在
kl	快了
kj	空间
ku	扣税
kc	空仓
ld	拉倒
lh	灵活
lm	乱码
lp	楼盘
lq	录取
lr	列入
ls	拉萨
lv	两张
lw	辣味
lx	类型
ly	留言
lg	老公
lu	楼上
lz	来自
lt	连同
lj	两句
ll	累了
la	冷傲
lc	冷藏
li	列出
ln	两年
lb	列表
lk	留空
ma	明暗
mb	毛病
mh	梦幻
mj	面积
mg	敏感
mn	迷你
mz	名字
mi	门窗
mk	门口
mu	谋杀
mf	免费
mm	慢慢
me	名额
mc	某次
nc	农村
nd	内地
ne	哪儿
ng	能够
nh	你好
ni	奶茶
nl	能力
nm	那么
nq	年轻
nt	哪天
nv	哪种
nx	哪些
nz	男子
nf	能否
nj	年级
nk	耐看
nn	年内
nu	女生
ns	浓缩
nr	内容
pg	苹果
ph	平衡
pi	品尝
pp	评判
pj	偏见
pz	瓶子
pc	配菜
pm	排名
pn	叛逆
pa	偏爱
pf	平凡
pb	配备
pk	撇开
qp	俏皮
qy	球员
qm	前面
qn	青年
qs	切碎
qt	群体
qq	全球
qu	强势
qi	切除
qx	求学
qr	确认
ri	日常
rr	日日
rv	任职
rh	如何
rj	软件
rs	染色
ru	入手
rf	染发
re	然而
sh	搜狐
sj	时间
su	算术
sg	三个
si	俗称
sr	虽然
sv	随着
ss	搜索
so	丧偶
sf	算法
se	孙儿
ti	填充
tr	突然
tv	体制
th	体会
tj	条件
tp	图片
tu	听说
te	胎儿
tg	提高
tc	推测
tm	透明
ts	特色
ta	图案
tk	挺快
tz	帖子
ty	天涯
uf	身份
ug	身高
uh	生活
ul	说了
uv	说着
uz	傻子
ue	首尔
ui	少吃
ur	生日
uy	属于
uk	上课
ua	涉案
uj	收集
uw	水位
