aabq	傲岸不群
aabx	皑皑白雪
aaiq	暗暗称奇
aadb	嗷嗷待哺
aaff	安安分分
aafm	哀哀父母
aajj	安安静静
aapp	矮矮胖胖
aaqd	暗暗祈祷
aaqq	安安全全
aaww	安安稳稳
aaxx	安安心心
aayj	哀哀欲绝
aayy	安安逸逸
hhzr	昂昂自若
aazu	暗暗咂舌
abaq	安不安全
abay	安不安逸
abbb	哀兵必败
abbd	按兵不动
abbj	按兵不举
abbu	哀兵必胜
abdi	安步当车
abdg	安邦定国
abdy	阿鼻地狱
abgq	熬不过去
abhz	阿布哈兹
abjb	按部就班|按步就班
abkv	傲不可长|敖不可长
ablk	爱别离苦
ablm	鞍不离马
abru	爱不忍释
abrz	爱兵如子
abuj	按兵束甲|案兵束甲
abuu	爱不释手
abvb	阿布扎比
abvg	安邦治国
abvh	阿布扎哈
abww	安不忘危
aiiu	安常处顺
aidr	暗锤打人
aigd	熬肠刮肚
ailu	安常履顺
aipl	安车蒲轮
hcqi	昂藏七尺
acrk	爱才若渴|爱才如渴
acrm	爱财如命|爱才如命
aiuf	安常守分
aiug	安常守故
acuj	暗藏杀机
aixg	安常习故
acxj	暗藏玄机
aixy	暗潮汹涌
adbl	爱答不理
adic	暗度陈仓|暗渡陈仓
adjv	暗度金针
adlx	案牍劳形
adly	澳大利亚|安堵乐业
admv	暗斗明争
adrg	安堵如故|按堵如故
adue	挨冻受饿
adtj	安定团结
adwg	暗淡无光|黯淡无光
adwn	安度晚年
adys	爱得要死
adyx	安定有序
advl	案牍之劳
aebn	奥尔巴尼
aebs	阿尔卑斯
aebu	哀而不伤
aeje	阿尔及尔
afaf	安抚安抚
afjf	挨风缉缝
afli	鳌愤龙愁
afqf	捱风缉缝
afuj	安分守己|安份守己
afuy	安分守已
afvz	安分知足
afxi	案发现场
afxp	安富恤贫|爱富嫌贫
afxq	安富恤穷
afzr	安富尊荣
agam	阿哥阿妹|阿狗阿猫
agaw	阿姑阿翁|阿家阿翁
agbf	哀告宾服
agfm	安国富民
agjy	爱岗敬业
agll	傲骨嶙嶙
agnj	安国宁家
agrj	爱国如家
agru	爱国人士
agst	奥古斯塔
aguy	熬更守夜
agtd	哀感天地
agvv	阿甘正传
agvx	爱国之心
agvy	爱国主义
agwy	哀感顽艳
agvb	岸谷之变
agvn	哀感中年
agvq	安故重迁
ahbd	哀鸿遍地
ahby	哀鸿遍野
ahdp	安魂定魄
ahgl	哀毁骨立
ahjj	爱恨交加
ahjl	哀毁瘠立
ahjv	爱恨交织
ahuv	爱鹤失众
ahwj	懊悔无及
ahxi	黯晦消沉
ajah	挨家挨户
ajaj	安静安静
ajbz	挨肩并足
ajcb	挨肩擦背|挨肩擦膀
ajcl	挨肩擦脸
ajim	案剑瞋目
ajdb	挨肩搭背|挨肩迭背|挨肩叠背
ajjw	阿娇金屋
ajlh	安家落户
ajly	安家立业|安居乐业|安家乐业
ajmd	阿基米德
ajmq	暗箭明枪
ajnf	暗箭难防
ajqb	按甲寝兵
ajur	暗箭伤人
ajvy	安家置业
ajxb	按甲休兵|案甲休兵
ajxc	熬姜呷醋
