美元	$|💵|💲
美刀	$
星号	*️⃣
星号键	*️⃣
零	0️⃣
一	1️⃣
二	2️⃣
三	3️⃣
四	4️⃣
五	5️⃣
六	6️⃣
七	7️⃣
八	8️⃣
九	9️⃣
港元	HK$
港币	HK$
澳门元	MOP$
澳门币	MOP$
葡币	MOP$
新加坡元	S$
新加坡币	S$
英镑	£|💷
镑	£
copyright	©
版权	©
版权符号	©
registered	®
注册	®
注册商标	®
注册商标符号	®
注册标记	®
泰铢	฿
铢	฿
牛皮	🐮🍺
俩叹号	‼️
双叹号	‼️
双惊叹号	‼️
双感叹号	‼️
叹号问号	⁉️
叹问号	⁉️
惊问	⁉️
感叹号问号	⁉️
疑问惊叹	⁉️
疑问惊叹号	⁉️
卢比	₨
欧元	€|💶
印度卢比	₹
比特币	₿
TM	™
商标	™
商标符号	™
info	ℹ️
information	ℹ️
资讯	ℹ️
左右	↔️
左右箭头	↔️
上下	↕️
上下箭头	↕️
左上	↖️
左上箭头	↖️
右上	↗️
右上箭头	↗️
右下	↘️
右下箭头	↘️
左下	↙️
左下箭头	↙️
回车	↩️
手表	⌚
表	⌚
沙漏	⌛|⏳
电脑键盘	⌨️
键盘	⌨️
弹出	⏏️
弹出按钮	⏏️
推出	⏏️
推出按钮	⏏️
快进	⏩
快进符号	⏩
快退	⏪
快退符号	⏪
快上	⏫
快下	⏬
下一首	⏭️
上一首	⏮️
播放暂停	⏯️
闹表	⏰
闹钟	⏰
秒表	⏱
计时器	⏱
定时器	⏲
暂停	⏸️
停止	⏹️
停止播放	⏹️
开始录像	⏺️
开始录音	⏺️
录像	⏺️
录像按钮	⏺️
录音	⏺️
录音按钮	⏺️
小方块	▪|▫
小正方形	▪|▫
白色小方块	▪
黑色小方块	▫
开始	▶️
开始播放	▶️
播放	▶️
倒退	◀️
倒退按钮	◀️
黑色中方块	◻
黑色中等方块	◻
中方块	◼|◻
中正方形	◼|◻
中等方块	◼|◻
中等正方形	◼|◻
白色中方块	◼
白色中等方块	◼
黑色大方块	◽
大方块	◾|◽
大正方形	◾|◽
白色大方块	◾
太阳	☀️|🌞
日	☀️
晴天	☀️
cloud	☁️
云	☁️
云彩	☁️
云朵	☁️
天气	☁️
伞状	☂️
打伞	☂️|☔
撑伞	☂️|☔
哈雷	☄️
哈雷彗星	☄️
彗星	☄️
固定电话	☎️
固话	☎️
座机	☎️
电话	☎️
勾选	☑️|✔
复选	☑️
复选按钮	☑️
复选框	☑️
打对钩	☑️
打钩	☑️
按钮	☑️|🔘
咖啡	☕
咖啡杯	☕
喝咖啡	☕
三叶草	☘
一个	☝️
第一	☝️
食指	☝️
放射性	☢️
核辐射	☢️
电离辐射	☢️
辐射	☢️
生化危机	☣️
生物危害	☣️
生物性危害	☣️
瘟疫公司	☣️
东正教	☦️
东正教十字架	☦️
星月	☪️
peace	☮️
世界和平	☮️
和平	☮️
和平标志	☮️
和平符号	☮️
太极	☯️
阴阳	☯️
法轮	☸️
可爱	☺
女	♀
女性	♀
雌性	♀
男	♂
男性	♂
雄性	♂
白羊座	♈
金牛座	♉
双子座	♊
巨蟹座	♋
狮子座	♌
处女座	♍
天秤座	♎
天蝎座	♏
射手座	♐
摩羯座	♑
水瓶座	♒
双鱼座	♓
国际象棋	♟
国际象棋兵	♟
扑克	♠️|♥️|♦️|♣️|🃏|🎴
黑桃	♠️
梅花	♣️
草花	♣️
心	♥️
爱	♥️
红心	♥️
红桃	♥️
方块	♦️|⬛|⬜
方板	♦️
方片	♦️
休息	♨️
温泉	♨️
回收	♻️
循环	♻️
循环再生	♻️
循环利用	♻️
环保	♻️
无障碍设施	♿
轮椅标志	♿
锤子与镐	⚒️
锤子和镐	⚒️
船锚	⚓
锚	⚓
fight	⚔️
剑	⚔️
剑刃	⚔️
双剑	⚔️
双剑交叉	⚔️
开始战斗	⚔️
开战	⚔️
战斗	⚔️
武器	⚔️
医疗标志	⚕
医疗符号	⚕
单蛇之杖	⚕
单蛇杖	⚕
蛇杖	⚕
阿斯克勒庇俄斯	⚕
天平	⚖️
蒸馏器	⚗️
齿轮	⚙️
atom	⚛️
原子	⚛️
原子符号	⚛️
百合花	⚜️
百合花饰	⚜️
鸢尾花	⚜️
危险	⚠️
注意	⚠️
警告	⚠️
预警	⚠️
闪电	⚡
高压电	⚡
变性	⚧
跨性别	⚧|🏳️‍⚧️
跨性别符号	⚧
元宵	⚪
小圆点	⚪
小圆点儿	⚪
小白点	⚪
小白点儿	⚪
汤圆	⚪
白子	⚪
白棋	⚪
白点	⚪
白色	⚪|⬜
雪球	⚪
围棋	⚫|⚪
圆形	⚫|⚪
小黑点	⚫
小黑点儿	⚫
黑子	⚫
黑棋	⚫
黑点	⚫
黑白棋	⚫|⚪
黑色	⚫|⬛
棺材	⚰️
灵柩	⚰️
奉金瓮	⚱️
金塔	⚱️
金瓮	⚱️
骨坛	⚱️
骨灰盒	⚱️
骨灰缸	⚱️
骨瓮	⚱️
黄金瓮	⚱️
英式足球	⚽
足球	⚽
棒球	⚾
堆雪人	⛄
雪人	⛄
乌云蔽日	⛅
多云	⛅
阴天	⛅
下大雨	⛈️
大雨	⛈️
雷阵雨	⛈️
蛇夫座	⛎
铁镐	⛏️
锄头	⛏️
鹤嘴锄	⛏️
十字头盔	⛑️
十字安全帽	⛑️
安全帽	⛑️
白十字头盔	⛑️
白十字安全帽	⛑️
铁链	⛓️
铁链子	⛓️
链子	⛓️
链条	⛓️
锁链	⛓️
断链	⛓️‍💥
禁止通行	⛔
禁止驶入	⛔
请勿入内	⛔
请勿驶入	⛔
日本神社	⛩️
神社	⛩️
圣堂	⛪
山	⛰️
山峰	⛰️
山脉	⛰️
山顶	⛰️
遮阳伞	⛱️
公园	⛲
喷泉	⛲
高尔夫球洞	⛳
渡船	⛴
渡轮	⛴
轮渡	⛴
帆船	⛵
滑雪	⛷️
滑雪的人	⛷️
溜冰	⛸
溜冰鞋	⛸
滑冰	⛸
女子篮球	⛹️‍♀️
女生打篮球	⛹️‍♀️
女生玩篮球	⛹️‍♀️
女篮球运动员	⛹️‍♀️
打篮球	⛹️‍♂️|⛹️‍♀️
玩篮球	⛹️‍♂️|⛹️‍♀️
男子篮球	⛹️‍♂️
男生打篮球	⛹️‍♂️
男生玩篮球	⛹️‍♂️
男篮球运动员	⛹️‍♂️
篮球运动员	⛹️‍♂️|⛹️‍♀️
帐篷	⛺
加油站	⛽
石油	⛽
剪刀	✂️
剪子	✂️
对号	✅|✔
