he	他|氦
li	锂
be	铍
ne	氖
na	钠
mg	镁
al	铝
si	硅
cl	氯
ar	氩
ca	钙
sc	钪
ti	钛
cr	铬
mn	锰
fe	铁
co	钴
ni	镍
cu	铜
zn	锌
ga	镓
ge	锗
as	砷
se	硒
br	溴
kr	氪
rb	铷
sr	锶
zr	锆
nb	铌
mo	钼
ru	钌
rh	铑
pd	钯
ag	银
cd	镉
in	铟
sn	锡
sb	锑
te	碲
xe	氙
cs	铯
ba	钡
la	镧
ce	铈
pr	镨
nd	钕
sm	钐
eu	铕
gd	钆
tb	铽
dy	镝
ho	钬
er	铒
tm	铥
yb	镱
lu	镥
hf	铪
ta	钽
re	铼
os	锇
ir	铱
pt	铂
au	金
hg	汞
tl	铊
pb	铅
bi	铋
th	钍
pa	镤
aa	氨基酸
aaa	最高评级
zte	中兴
aaliyah	阿丽雅
aardvark	土豚
aardwolf	土狼
aarhus	奥胡斯
aaron	亚伦
aasvogel	秃鹫
aave	阿维语
aba	阿巴袍
ababa	亚的斯亚贝巴
abaci	算盘
aback	向后
abacus	算盘
abaft	在船尾
abalone	鲍鱼
abandon	抛弃
abandoned	被抛弃的
abandonee	被弃者
abandoner	抛弃者
abandoning	抛弃中
abandonment	抛弃
abandons	抛弃
abas	阿巴斯
abase	贬低
abased	贬低的
abasement	贬低
abasements	贬低
abases	贬低
abash	使羞愧
abashed	羞愧的
abashes	使羞愧
abashing	使羞愧
abashment	羞愧
abasing	贬低中
abate	减少
abated	减少的
abatement	减少
abatements	减少
abater	减少者
abates	减少
abating	减少中
abatis	障碍物
abb	阿布
abba	阿爸
abbacy	修道院长职位
abbatial	修道院长的
abbe	修道院院长
abbess	女修道院院长
abbey	修道院
abbeys	修道院
abbot	修道院院长
abbots	修道院院长
abbott	阿博特
abbreviate	缩写
abbreviated	缩写的
abbreviates	缩写
abbreviating	缩写
abbreviation	缩写
abbreviations	缩写
abbreviator	缩写者
abby	艾比
abc	基础知识
abc	基础知识
abcd	基础知识
abcoulomb	库仑
abdicate	退位
abdication	退位
abdicator	退位者
abdomen	腹部
abdomens	腹部
abdominal	腹部的
abduct	绑架
abducted	被绑架的
abduction	绑架
abductions	绑架
abductor	绑架者
abductors	绑架者
abducts	绑架
abdul	阿卜杜勒
abe	亚伯
abe	亚伯
abeam	正横
abecedarian	初学者
abed	在床上
abel	亚伯
abelian	阿贝尔
abelmosk	秋葵
abelson	艾贝尔森
aberdeen	阿伯丁
abernathy	阿伯内西
aberrance	异常
aberrant	异常的
aberration	偏差
aberrations	偏差
abestrine	石棉
abet	教唆
abets	教唆
abetted	教唆
abetter	教唆者
abetting	教唆
abeyance	中止
abfarad	绝对法拉
abhenry	绝对亨利
abhor	憎恶
abhorred	憎恶
abhorrence	憎恶
abhorrent	可恶的
abhorrer	憎恶者
abhorring	憎恶的
abhors	憎恶
abidance	遵守
abide	遵守
abided	遵守了
abides	遵守
abiding	遵守的
abidjan	阿比让
abient	回避的
abigail	阿比盖尔
abilene	阿比林
abilities	能力
ability	能力
ability power carry	法强核心
abject	悲惨的
abjection	悲惨
abjections	悲惨状态
abjectly	悲惨地
abjectness	悲惨
abjuration	放弃
abjure	放弃
abjured	放弃了
abjures	放弃
abjuring	放弃的
ablactation	断奶
ablate	切除
ablated	切除了
ablates	消融
ablating	消融中
ablation	消融
ablative	离格
ablaut	元音交替
ablaze	燃烧
able	能够
ablebodied	强壮的
abler	更能干
ablest	最能干
abloom	盛开
ablush	脸红
ablution	沐浴
ably	能干地
abnegate	放弃
abnegation	放弃
abner	艾布纳
abnormal	异常
abnormalities	异常
abnormality	异常
abnormally	异常地
abnormity	畸形
abo	原住民
aboard	在船上
abode	住所
abodes	住所
aboil	沸腾
abolish	废除
abolishable	可废除
abolished	已废除
abolisher	废除者
abolishers	废除者
abolishes	废除
abolishing	废除中
abolishment	废除
abolishments	废除
abolition	废除
abolitionism	废奴主义
abolitionist	废奴主义者
abolitionists	废奴主义者
abominable	可恶的
abominably	可恶地
abominate	憎恶
abomination	憎恶
aboral	背口的
aboriginal	土著的
aborigine	土著
aborigines	土著
aborning	诞生中
abort	中止
aborted	已中止
aborticide	堕胎药
aborting	中止中
abortion	堕胎
abortionist	堕胎医生
abortions	堕胎
abortive	失败的
abortively	失败地
aborts	中止
abos	阿博斯
abound	丰富
abounded	丰富
abounding	丰富
abounds	丰富
about	关于
above	上面
aboveboard	光明正大
aboveground	地上
abovementioned	上述
abracadabra	咒语
abradant	磨料
abrade	磨损
abraded	磨损
abrades	磨损
abrading	磨损
abraham	亚伯拉罕
abram	亚伯兰
abramoff	阿布拉莫夫
abrams	艾布拉姆斯
abramson	艾布拉姆森
abrasion	磨损
abrasions	磨损
abrasive	磨料
abreact	宣泄
abreaction	宣泄
abreactions	宣泄
abreast	并排
abridge	删节
abridged	删节
abridgement	删节
abridges	删节
abridging	删节
abridgment	删节
abroad	国外
abrogate	废除
abrogated	废除
abrogates	废除
abrogating	废除
abrogation	废除
abrupt	突然
abruptly	突然
abruptness	突然
abs	腹肌
abs	防抱死系统
anti-lock braking system	防抱死系统
abscess	脓肿
abscessed	脓肿
abscesses	脓肿
abscind	切断
abscissa	横坐标
abscissas	横坐标
abscission	脱落
abscond	潜逃
absconded	潜逃
abscondence	潜逃
absconding	潜逃
absconds	潜逃
absence	缺席
absences	缺席
absent	缺席
absent-minded	心不在焉
absented	缺席
absentee	缺席者
absenteeism	旷工
absentees	缺席者
absentia	缺席
absenting	缺席
absently	心不在焉地
absentminded	心不在焉
absents	缺席
absinth	苦艾酒
absinthe	苦艾酒
absinthism	苦艾酒中毒
absolute	绝对的
absolutely	绝对地
absoluteness	绝对性
absolutes	绝对
absolution	赦免
absolutism	专制主义
absolutist	专制主义者
absolve	赦免
absolved	赦免
absolves	赦免
absolving	赦免
absorb	吸收
absorbability	吸收性
absorbable	可吸收的
absorbed	全神贯注的
absorbency	吸收能力
absorbent	吸收剂
absorber	吸收器
absorbing	吸收的
absorbs	吸收
absorptance	吸收率
absorption	吸收
absorptions	吸收
absorptive	吸收的
abstain	戒除
abstained	戒除了
abstainer	戒除者
abstaining	戒除中
abstains	戒除
abstemious	节制的
abstention	弃权
abstentions	弃权
abstergent	清洁剂
abstinence	禁欲
abstinent	禁欲的
abstract	抽象的
abstracted	心不在焉的
abstracting	抽象化
abstraction	抽象
abstractionism	抽象主义
abstractionist	抽象主义者
abstractions	抽象概念
abstractly	抽象地
abstractness	抽象性
abstractor	摘要者
abstractors	摘要者
abstracts	摘要
abstruse	深奥
abstruseness	深奥
absurd	荒谬
absurdities	荒谬
absurdity	荒谬
absurdly	荒谬地
absurdness	荒谬
abu	阿布
abulia	意志缺失
abundance	丰富
abundant	丰富的
abundantly	丰富地
abusage	滥用
abuse	滥用
abused	被滥用的
abuses	滥用
abusing	滥用
abusive	辱骂的
abut	邻接
abutment	桥墩
abuts	邻接
abuttals	地界
abutted	邻接
abutter	邻接者
abutters	邻接者
abutting	邻接
abuzz	嗡嗡作响的
abysmal	极糟的
abysmally	极糟地
abyss	深渊
abyssal	深渊的
abysses	深渊
abyssinia	阿比西尼亚
abyssinian	阿比西尼亚的
abyssinians	阿比西尼亚人
acacia	金合欢
academia	学术界
academic	学术的
academical	学术的
academically	学术上
academician	院士
academicism	学术主义
academics	学者
academies	学院
academy	学院
acadia	阿卡迪亚
acaleph	水母
acanthus	爵床
acapulco	阿卡普尔科
accede	同意
acceded	同意
accedes	同意
accelerant	促进剂
accelerate	加速
accelerated	加速的
accelerates	加速
accelerating	加速
acceleration	加速度
accelerations	加速度
accelerator	加速器
accelerators	加速器
accelerometer	加速度计
accelerometers	加速度计
accent	口音
accented	带口音的
accenting	强调
accents	口音
accentual	重音的
accentuate	强调
accentuated	强调的
accentuates	强调
accentuating	强调
accentuation	强调
accentuator	强调器
accept	接受
acceptability	可接受性
acceptable	可接受的
acceptably	可接受地
acceptance	接受
acceptances	接受
acceptation	词义
accepted	接受的
accepter	接受者
accepters	接受者
accepting	接受
acceptor	接受器
acceptors	接受器
accepts	接受
access	访问
microsoft access	微软access
accessary	附件
accessed	访问了
accesses	访问
accessibility	可访问性
accessible	可访问
accessibly	可访问地
accessing	访问中
accession	加入
accessions	加入物
accessories	配件
accessorily	附带地
accessors	访问器
accessory	附件
accidence	词形变化
accident	事故
accidental	偶然的
accidentally	偶然地
accidently	意外地
accidents	事故
accipitral	鹰的
acclaim	称赞
acclaimed	受赞誉的
acclaiming	称赞中
acclaims	称赞
acclamation	欢呼
acclimate	适应
acclimated	适应了
acclimates	适应
acclimating	适应中
acclimation	适应
acclimatization	适应
acclimatize	适应
acclimatized	适应
acclivitous	上坡的
acclivity	上坡
accolade	荣誉
accolades	荣誉
accommodate	容纳
accommodated	容纳
accommodates	容纳
accommodating	随和的
accommodation	住宿
accommodations	住宿
accommodative	包容的
accommodator	调解者
accompanied	伴随
accompanies	伴随
accompaniment	伴奏
accompaniments	伴奏
accompanist	伴奏者
accompanists	伴奏者
accompany	伴随
accompanying	伴随
accomplice	同谋
accomplices	同谋
accomplish	完成
accomplished	完成的
accomplisher	完成者
accomplishers	完成者
accomplishes	完成
accomplishing	完成
accomplishment	成就
accomplishments	成就
accord	一致
accordance	依照
accordant	一致的
accorded	给予
accorder	授予者
accorders	授予者
according	根据
accordingly	相应地
accordion	手风琴
accordionist	手风琴手
accordions	手风琴
accords	协议
accost	搭讪
accosted	被搭讪
accosting	搭讪中
accosts	搭讪
accouchement	分娩
account	账户
account for	解释
accountability	责任
accountable	有责任的
accountably	可问责地
accountancy	会计学
accountant	会计师
accountants	会计师
accounted	已计入
accounting	会计
accounts	账户
accouter	装备
accouterments	装备
accoutre	装备
accoutrements	装备
accra	阿克拉
accredit	认证
accreditation	认证
accreditations	认证
accredited	认证的
accrete	附着
accretion	增长
accretions	增长
accrual	应计
accrue	累积
accrued	累积的
accrues	累积
accruing	累积
acculturate	文化适应
acculturated	文化适应的
acculturates	文化适应
acculturating	文化适应
acculturation	文化适应
accumbent	卧着的
accumulate	积累
accumulated	积累的
accumulates	积累
accumulating	积累
accumulation	积累
accumulations	积累
accumulative	累积的
accumulator	累加器
accumulators	累加器
accuracies	准确度
accuracy	准确度
accurate	准确的
accurately	准确地
accurateness	准确性
accursed	被诅咒的
accurst	被诅咒的
accusal	指控
accusant	指控者
accusation	指控
accusations	指控
accusative	宾格的
accusatorial	控告式的
accusatory	指责的
accuse	指控
accused	被指控的
accuser	指控者
accuses	指控
accusing	指责的
accusingly	指责地
accustom	使习惯
accustomed	习惯的
accustoming	使习惯
accustoms	使习惯
acdbentity	未知实体
acdbline	直线
ace	王牌
acer	宏碁
acerb	尖刻
acerbate	激怒
acerbic	尖酸
acerbity	尖刻
acerose	针状
aces	王牌
acetal	乙缩醛
acetanilide	乙酰苯胺
acetate	醋酸盐
acetic	醋的
acetification	酸化
acetone	丙酮
acetous	醋的
acetylcholine	乙酰胆碱
acetylene	乙炔
acetylenelamp	乙炔灯
acfun	a站
acg	二次元
animation comics games	动漫游戏
achaea	阿哈伊亚
achaean	阿哈伊亚人
achaeans	阿哈伊亚人
ache	疼痛
ached	疼痛过
achene	瘦果
acheron	冥河
aches	疼痛
achievability	可实现性
achievable	可实现的
achieve	实现
achieved	已实现
achievement	成就
achievements	成就
achiever	成功者
achievers	成功者
achieves	实现
achieving	实现中
achilles	阿喀琉斯
aching	疼痛
achingly	极其
achondrite	无球粒陨石
achromatic	无色的
acia	尖刺
acid	酸
acidhead	瘾君子
acidic	酸性的
acidification	酸化
acidify	使酸化
acidifying	酸化中
acidities	酸度
acidity	酸度
acidly	尖刻地
acidness	酸性
acidoid	似酸的
acidosis	酸中毒
acids	酸类
acidulate	使微酸
acidulated	已微酸
acidulating	微酸化中
acidulous	微酸
acidum	酸
ack	确认
ackemma	阿克马
ackerman	阿克曼
ackley	阿克利
acknowledge	承认
acknowledgeable	可承认的
acknowledged	公认的
acknowledgement	确认
acknowledgements	致谢
acknowledger	承认者
acknowledgers	承认者
acknowledges	承认
acknowledging	承认中
acknowledgment	确认
acknowledgments	确认书
acm	协会
acm	协会
acme	顶点
acne	痤疮
acock	翘起
acolyte	侍僧
acolytes	侍僧
aconite	乌头
acorn	橡果
acorns	橡果
acoustic	声学的
acoustical	声学的
acoustically	声学上
acquitter	无罪释放
acquitting	无罪释放
acre	英亩
acreage	英亩数
acres	英亩
acrid	辛辣
acridity	辛辣
acrimonious	尖刻
acrimony	尖刻
acrobat	杂技演员
acrobatic	杂技的
acrobatics	杂技
acrobats	杂技演员
acrolith	石木雕像
acromegalic	肢端肥大的
acromegaly	肢端肥大症
acronym	首字母缩略词
acronyms	首字母缩略词
acrophobia	恐高症
acropolis	卫城
across	穿过
acrostic	离合诗
acrylic	丙烯酸
act	行动
acta	学报
actaeon	阿克特翁
acted	行动
actin	肌动蛋白
acting	表演
actinic	光化
actinism	光化性
actinium	锕
actinometer	感光计
actinometers	感光计
action	行动
actionable	可起诉的
actions	行动
activate	激活
activated	激活的
activates	激活
activating	激活
activation	激活
activations	激活
activator	激活剂
activators	激活剂
active	活跃的
actively	积极地
activism	行动主义
activist	活动家
activists	活动家
activities	活动
activity	活动
actiyator	激活剂
acton	阿克顿
actor	演员
actors	演员
actress	女演员
actresses	女演员
acts	行为
actual	实际
actualities	现实
actuality	现实
actualization	实现
actualize	实现
actually	实际上
actuals	实际
actuarial	精算
actuarially	精算上
actuary	精算师
actuate	驱动
actuated	驱动
actuates	驱动
actuating	驱动
actuation	驱动
actuator	执行器
actuators	执行器
acuity	敏锐
acumen	敏锐
acupuncture	针灸
acura	讴歌
acute	急性
acutely	敏锐地
acuteness	敏锐
acxiom	安客诚
acyclic	非循环
acyclically	非循环地
ad	广告
ad	公元
ada	艾达
ada	艾达
adage	谚语
adages	谚语
adagio	柔板
adagios	柔板
adair	阿代尔
adam	亚当
adamant	坚决
adamantine	坚硬
adamantly	坚决地
adamite	亚当派
adams	亚当斯
adamson	亚当森
adapt	适应
adaptability	适应性
adaptable	适应性强的
adaptation	适应
adaptations	适应
adaptec	适配卡
adapted	适应的
adapter	适配器
adapters	适配器
adapting	适应
adaption	适应
adaptive	自适应的
adaptively	自适应地
adaptor	适配器
adaptors	适配器
adapts	适应
adaxial	近轴
adc	模数转换器
attack damage carry	物理输出核心
add	添加
add-on	附加
add-ons	附加
addax	旋角羚
added	添加的
addend	加数
addenda	附录
addendum	附录
adder	加法器
adders	加法器
addible	可加的
addict	成瘾者
addicted	上瘾的
addicting	令人上瘾的
addiction	成瘾
addictions	成瘾
addictive	成瘾的
addicts	成瘾者
adding	添加
addis	亚的斯
addison	艾迪生
addition	加法
additional	额外的
additionally	此外
additions	添加物
additive	添加剂
additives	添加剂
additivity	可加性
addle	糊涂
addr	地址
address	地址
addressability	可寻址性
addressable	可寻址的
addressed	已寻址
addressee	收件人
addressees	收件人
addresser	发件人
addressers	发件人
addresses	地址
addressing	寻址
addressograph	地址印刷机
adds	添加
adduce	引证
adduced	已引证
adduces	引证
adducible	可引证的
adducing	引证中
adduct	内收
adducted	已内收
adducting	内收中
adduction	内收
adductor	内收肌
adducts	内收
adelaide	阿德莱德
adele	阿黛尔
adelia	阿德莉亚
aden	亚丁
adenine	腺嘌呤
adenoids	腺样体
adenosine	腺苷
adept	熟练
adequacies	足够性
adequacy	足够性
adequate	足够
adequately	足够地
adguard	广告拦截器
adguardhome	家庭广告拦截
adhd	多动症
adhere	粘附
adhered	粘附的
adherence	粘附
adherent	粘附者
adherents	粘附者
adherer	粘附者
adherers	粘附者
adheres	粘附
adhering	粘附的
adhesion	粘附
adhesions	粘附物
adhesive	粘合剂
adhesives	粘合剂
adiabatic	绝热的
adiabatically	绝热地
adidas	阿迪达斯
adieu	再见
adieux	再见
adios	再见
adipex	阿迪派克斯
adipose	脂肪的
adiposity	肥胖
adirondack	阿迪朗达克
adirondacks	阿迪朗达克山脉
adit	入口
adj	形容词
adjacency	邻近
adjacent	相邻的
adjectival	形容词的
adjective	形容词
adjectives	形容词
adjoin	邻接
adjoined	邻接的
adjoining	毗邻的
adjoins	邻接
adjourn	休会
adjourned	休会的
adjourning	休会
adjournment	休会
adjourns	休会
adjudge	判决
adjudged	判决的
adjudges	判决
adjudging	判决
adjudicate	裁定
adjudicated	裁定的
adjudicates	裁定
adjudicating	裁定
adjudication	裁定
adjudications	裁决
adjudicative	裁决的
adjudicator	裁决者
adjunct	附属
adjunctive	辅助的
adjuncts	附属物
adjuration	恳求
adjure	恳求
adjured	恳求的
adjures	恳求
adjuring	恳求的
adjust	调整
adjustable	可调的
adjustably	可调地
adjusted	调整的
adjuster	调节器
adjusters	调节器
adjusting	调整的
adjustment	调整
adjustments	调整
adjustor	调节器
adjustors	调节器
adjusts	调整
adjutancy	副官职务
adjutant	副官
adjutants	副官
adkins	阿德金斯
adler	阿德勒
adlerian	阿德勒的
adm	阿德姆
adman	广告人
admeasure	测量
admin	管理
adminicle	辅助
administer	执行
administerative	行政的
administered	已执行
administering	执行中
administerings	执行事务
administers	执行者
administrable	可管理的
administrate	管理
administration	行政
administrations	行政部门
administrative	行政的
administratively	行政上
administrator	管理员
administrators	管理员
administratrix	女管理员
admins	管理员
admirable	令人钦佩的
admirably	令人钦佩地
admiral	海军上将
admirals	海军上将
admiralship	海军上将职位
admiralty	海军部
admiration	钦佩
admirations	钦佩之情
admire	钦佩
admired	受钦佩的
admirer	仰慕者
admirers	仰慕者
admires	仰慕
admiring	仰慕的
admiringly	仰慕地
admissibility	可采纳性
admissible	可采纳的
admission	承认
admissions	录取
admissive	容许的
admit	承认
admits	承认
admittance	进入许可
admitted	承认的
admittedly	公认地
admitter	承认者
admitters	承认者
admitting	承认
admix	混合
admixed	混合的
admixes	混合
admixing	混合
admixture	混合物
admonish	告诫
admonished	告诫的
admonishes	告诫
admonishing	告诫的
admonishment	告诫
admonishments	告诫
admonition	劝告
admonitions	告诫
admonitory	告诫的
ado	忙乱
adobe	土坯
adobe photoshop	图像处理软件
adolescence	青春期
adolescent	青少年
adolescents	青少年
adolph	阿道夫
adolphus	阿道弗斯
adonis	美少年
adopt	采用
adoptable	可采用的
adopted	被采用的
adopter	采用者
adopters	采用者
adopting	采用中
adoption	采用
adoptions	采用
adoptive	收养的
adopts	采用
adorable	可爱的
adorably	可爱地
adoration	崇拜
adore	崇拜
adored	被崇拜的
adorer	崇拜者
adores	崇拜
adoring	崇拜中
adorn	装饰
adorned	装饰的
adornment	装饰
adornments	装饰品
adorns	装饰
adown	向下
adrenal	肾上腺的
adrenalin	肾上腺素
adrenaline	肾上腺素
adrenocorticotro	促肾上腺
adrenocorticotropic	促肾上腺的
adrian	阿德里安
adriatic	亚得里亚的
adrienne	阿德里安娜
adrift	漂浮的
adroit	灵巧的
adroitly	灵巧地
adroitness	灵巧
ads	广告
adsense	广告联盟
adsl	非对称数字用户线路
asymmetric digital subscriber line	非对称数字用户线路
adsmith	广告匠
adsorb	吸附
adsorbed	吸附的
adsorbing	吸附中
adsorbs	吸附
adsorption	吸附作用
adsorptive	吸附的
adspower	广告力量
adsum	我在
adulate	谄媚
adulating	谄媚
adulation	谄媚
adulator	谄媚者
adulatory	谄媚的
adult	成人
adulterant	掺杂物
adulterate	掺假
adulterated	掺假的
adulterates	掺假
adulterating	掺假
adulteration	掺假
adulterer	奸夫
adulterers	奸夫
adulteress	奸妇
adulterous	通奸的
adulterously	通奸地
adultery	通奸
adulthood	成年
adults	成人
adult video	成人视频
adumbral	阴暗的
adumbrate	预示
adumbrated	预示的
adumbrates	预示
adumbrating	预示
adumbration	预示
adumbrative	预示的
adurol	阿杜罗尔
adust	焦黑的
advance	前进
advanced	先进的
advanced risc machine	arm架构
advancement	进步
advancements	进步
advances	进展
advancing	推进
advantage	优势
advantaged	有利的
advantageous	有利的
advantageously	有利地
advantages	优势
advent	出现
adventist	基督复临信徒
adventists	基督复临信徒
adventitious	偶然的
adventure	冒险
adventured	冒险
adventurer	冒险家
adventurers	冒险家
adventures	冒险
adventuresome	爱冒险的
adventuress	女冒险家
adventuring	冒险
adventurous	冒险的
adverb	副词
adverbial	状语的
adverbs	副词
adversaries	对手
adversary	对手
adversative	转折
adverse	不利
adversely	不利地
adversities	逆境
adversity	逆境
advert	广告
advertent	注意的
advertise	做广告
advertised	广告的
advertisement	广告
advertisements	广告
advertiser	广告商
advertisers	广告商
advertises	做广告
advertising	广告
adverts	广告
advice	建议
advices	建议
advisability	可取性
advisable	可取的
advisably	明智地
advise	建议
advised	建议的
advisedly	深思熟虑地
advisee	被建议者
advisees	被建议者
advisement	建议
advisements	建议
adviser	顾问
advisers	顾问
advises	建议
advising	建议
advisor	顾问
advisories	建议
advisors	顾问
advisory	咨询
advocacy	倡导
advocate	倡导者
advocated	倡导
advocates	倡导者
advocating	倡导
advocator	倡导者
advowson	圣职授予权
adware	广告软件
adynamic	无力的
adytum	内殿
adz	扁斧
aegean	爱琴海
aegis	庇护
aeneas	埃涅阿斯
